Region,Lat,Long,CBSA_Code,Pop_Density,Yr_1971,Yr_1972,Yr_1973,Yr_1974,Yr_1975,Yr_1976,Yr_1977,Yr_1978,Yr_1979,Yr_1980,Yr_1981,Yr_1982,Yr_1983,Yr_1984,Yr_1985,Yr_1986,Yr_1987,Yr_1988,Yr_1989,Yr_1990,Yr_1991,Yr_1992,Yr_1993,Yr_1994,Yr_1995,Yr_1996,Yr_1997,Yr_1998,Yr_1999,Yr_2000,Yr_2001,Yr_2002,Yr_2003,Yr_2004,Yr_2005,Yr_2006,Yr_2007,Yr_2008,Yr_2009,Yr_2010,Yr_2011,Yr_2012,Yr_2013,Yr_2014,Yr_2015,Yr_2016,Yr_2017
MA-Baltimore,39.2904,-76.6122,12580,"1,788.54",1.63%,0.94%,0.73%,0.53%,0.23%,0.21%,0.59%,0.11%,0.22%,-0.30%,0.54%,0.29%,0.35%,0.73%,0.50%,1.32%,1.05%,1.35%,0.84%,1.27%,1.15%,0.91%,0.74%,0.70%,0.61%,0.45%,0.48%,0.47%,0.60%,0.69%,0.68%,0.82%,0.68%,0.64%,0.50%,0.53%,0.36%,0.46%,0.60%,0.72%,0.72%,0.78%,0.56%,0.46%,0.38%,0.21%,0.26%
SC-Charlotte,35.2271,-80.8431,16740,"1,069.36",1.77%,2.03%,1.46%,1.06%,0.43%,0.67%,1.00%,1.74%,1.85%,2.42%,1.53%,1.46%,0.84%,1.69%,1.92%,1.45%,1.96%,1.96%,1.81%,2.21%,2.30%,1.77%,2.16%,2.41%,2.63%,2.76%,2.85%,2.83%,2.85%,2.49%,2.36%,2.10%,1.93%,2.09%,2.88%,3.88%,3.83%,3.14%,2.05%,1.25%,1.48%,1.67%,1.75%,1.80%,2.02%,2.12%,2.01%
FL-Orlando,28.5383,-81.3792,36740,"1,740.68",5.46%,7.36%,7.39%,5.65%,1.33%,2.22%,2.94%,3.23%,4.25%,4.16%,3.95%,3.77%,4.43%,4.52%,4.04%,4.23%,4.21%,3.49%,4.59%,5.92%,3.43%,2.77%,2.90%,2.74%,2.45%,2.88%,3.44%,3.14%,2.56%,3.04%,3.23%,2.92%,2.91%,3.67%,4.14%,3.29%,1.87%,1.44%,1.17%,1.30%,1.73%,2.34%,2.01%,2.45%,2.71%,2.61%,2.30%
TX-San Antonio,29.4241,-98.4936,41700,351.55,2.98%,2.16%,2.98%,1.57%,0.88%,1.79%,2.04%,1.66%,1.32%,2.07%,2.14%,2.95%,2.61%,2.38%,2.61%,2.98%,2.31%,0.47%,0.49%,0.69%,1.64%,2.18%,2.25%,2.46%,2.27%,1.87%,1.83%,1.91%,1.76%,1.84%,1.63%,2.06%,1.78%,2.30%,2.08%,3.17%,2.82%,2.47%,2.15%,2.25%,1.89%,1.95%,1.94%,2.13%,2.17%,1.98%,1.97%
OR-Portland,45.5122,-122.6587,38900,555.2,1.72%,2.62%,2.07%,1.47%,1.51%,1.73%,2.42%,2.64%,2.91%,2.65%,1.30%,0.65%,-0.17%,0.68%,0.80%,1.32%,0.96%,2.17%,2.27%,3.28%,3.18%,2.59%,2.70%,2.31%,2.40%,2.74%,2.38%,1.93%,1.65%,1.50%,1.88%,1.61%,1.06%,0.75%,1.37%,1.73%,1.65%,1.64%,1.56%,1.14%,1.21%,1.17%,1.06%,1.44%,1.70%,1.72%,1.24%
PA-Pittsburgh,40.4406,-79.9959,38300,727.31,0.04%,-0.33%,-0.79%,-0.99%,-0.08%,-0.25%,-0.38%,-0.33%,-0.57%,-0.45%,-0.64%,-0.40%,-0.52%,-0.95%,-1.52%,-1.03%,-0.86%,-0.60%,-0.40%,-0.01%,0.30%,0.37%,0.20%,-0.16%,-0.28%,-0.36%,-0.45%,-0.43%,-0.46%,-0.42%,-0.45%,-0.38%,-0.30%,-0.50%,-0.61%,-0.44%,-0.22%,-0.09%,-0.06%,0.07%,0.11%,0.03%,-0.01%,-0.14%,-0.32%,-0.32%,-0.35%
CA-Sacremento,38.5816,-121.4944,40900,505.58,2.67%,3.04%,0.35%,2.37%,2.32%,2.34%,2.99%,4.07%,2.96%,3.29%,2.40%,3.11%,2.18%,2.04%,2.66%,2.75%,3.59%,3.58%,3.60%,6.51%,2.99%,1.56%,1.05%,0.83%,1.46%,1.67%,1.67%,1.84%,2.04%,2.30%,3.23%,3.06%,2.45%,1.93%,1.30%,1.13%,1.18%,1.25%,1.15%,1.00%,0.93%,0.86%,0.95%,1.17%,1.23%,1.25%,1.29%
OH-Cincinnati,39.1031,-84.512,17140,828.32,0.41%,-0.09%,0.59%,-0.11%,-0.14%,0.57%,0.59%,0.79%,0.43%,0.44%,0.21%,0.23%,0.04%,0.45%,0.57%,0.74%,0.99%,0.61%,0.51%,0.90%,1.18%,1.06%,1.15%,0.70%,0.70%,0.67%,0.85%,0.76%,0.68%,0.76%,0.63%,0.41%,0.55%,0.55%,0.59%,0.73%,0.68%,0.53%,0.60%,0.48%,0.23%,0.26%,0.38%,0.48%,0.42%,0.48%,0.60%
NV-Las Vegas,36.1699,-115.1398,29820,676.2,5.69%,4.92%,3.89%,5.49%,4.28%,5.17%,5.53%,5.88%,6.89%,6.31%,5.02%,4.25%,3.21%,2.77%,2.97%,3.51%,5.33%,5.83%,6.80%,9.36%,7.92%,5.06%,5.25%,7.79%,6.50%,6.18%,7.03%,6.29%,5.59%,5.50%,4.78%,4.28%,4.02%,4.96%,4.01%,4.29%,3.55%,2.38%,1.41%,0.70%,0.70%,1.51%,1.49%,1.92%,2.20%,2.20%,2.20%
MO-Kansas City,39.0997,-94.5786,28140,383.94,0.86%,0.52%,1.03%,-0.25%,-0.49%,0.57%,0.21%,0.94%,0.47%,0.60%,0.36%,0.32%,0.54%,1.07%,1.16%,1.18%,1.42%,1.10%,0.55%,1.01%,1.09%,1.03%,1.25%,1.19%,0.98%,1.33%,1.33%,1.16%,1.11%,1.18%,1.08%,1.16%,0.88%,0.90%,0.92%,1.17%,1.19%,0.98%,1.06%,0.93%,0.57%,0.67%,0.76%,0.76%,0.75%,1.01%,1.07%
TX-Austin,30.2672,-97.7431,12420,380.74,4.04%,6.85%,5.67%,2.66%,2.34%,4.09%,2.77%,1.24%,6.10%,3.17%,2.77%,4.54%,5.50%,5.89%,7.19%,4.56%,1.80%,1.21%,1.80%,2.41%,3.38%,3.65%,4.05%,4.12%,4.31%,4.02%,3.56%,3.99%,4.35%,4.90%,4.46%,2.01%,2.09%,2.47%,3.07%,4.27%,4.12%,3.55%,2.97%,2.68%,3.07%,3.03%,2.67%,3.12%,3.01%,2.99%,2.68%
OH-Cleveland,41.4993,-81.6944,17460,"1,128.32",-0.28%,-1.51%,-0.51%,-0.81%,-0.45%,-0.79%,-0.28%,-0.31%,-1.01%,-0.56%,-0.47%,-0.53%,-0.19%,-0.24%,-0.47%,-0.50%,-0.32%,-0.56%,0.08%,0.03%,0.63%,0.64%,0.44%,0.28%,0.18%,0.16%,-0.04%,-0.05%,-0.08%,-0.11%,-0.27%,-0.26%,-0.24%,-0.39%,-0.53%,-0.58%,-0.37%,-0.31%,-0.19%,-0.26%,-0.32%,-0.21%,0.05%,0.02%,-0.16%,-0.13%,-0.06%
OH-Columbus,39.9612,-82.9988,18140,"1,292.65",1.85%,0.93%,1.02%,1.22%,0.99%,0.22%,1.02%,0.61%,0.49%,-0.07%,0.83%,0.25%,0.60%,0.75%,0.90%,0.99%,1.27%,1.74%,1.25%,1.40%,1.65%,1.68%,1.52%,1.27%,1.23%,0.87%,1.26%,1.46%,1.31%,1.44%,1.47%,1.15%,1.33%,1.16%,1.22%,1.44%,1.35%,1.31%,1.17%,1.00%,1.04%,1.06%,1.26%,1.39%,1.24%,1.18%,1.55%
IN-Indianapolis,39.7684,-86.1581,26900,850.68,0.62%,0.82%,0.38%,0.69%,-0.16%,0.29%,0.41%,0.70%,0.39%,0.50%,0.13%,0.06%,0.08%,0.62%,0.46%,0.59%,0.96%,0.70%,0.98%,1.37%,1.83%,1.62%,1.65%,1.59%,1.44%,1.43%,1.35%,1.29%,1.49%,1.49%,1.40%,1.23%,1.25%,1.23%,1.27%,1.57%,1.43%,1.30%,1.25%,1.01%,0.95%,0.97%,1.26%,0.90%,0.81%,0.94%,1.15%
CA-San Jose,37.3382,-121.8863,41940,710.4,2.61%,3.46%,2.22%,0.11%,2.44%,1.23%,2.10%,2.36%,0.91%,2.35%,1.85%,1.58%,2.17%,1.67%,1.74%,0.80%,1.30%,1.76%,1.83%,0.06%,1.00%,1.27%,1.18%,0.85%,1.27%,1.87%,1.89%,1.42%,0.87%,0.91%,0.23%,-1.05%,-0.33%,-0.05%,0.70%,0.89%,1.19%,1.65%,1.36%,1.24%,1.51%,1.54%,1.57%,1.34%,1.20%,0.67%,0.38%
TN-Nashville,36.1627,-86.7816,34980,260.77,1.29%,3.02%,1.34%,2.11%,2.26%,1.34%,2.11%,2.24%,1.99%,1.86%,0.86%,0.62%,0.96%,1.51%,1.53%,2.02%,2.36%,1.40%,1.24%,1.32%,2.01%,2.22%,2.61%,2.79%,2.61%,2.50%,2.41%,1.98%,1.76%,1.83%,1.57%,1.33%,1.55%,1.96%,2.22%,2.78%,2.51%,2.17%,1.68%,1.30%,1.32%,1.70%,1.81%,1.98%,2.05%,2.15%,1.83%
VA-Virginia Beach,36.8529,-75.978,47260,"1,245.99",0.94%,0.02%,2.07%,1.79%,0.71%,1.22%,1.61%,0.90%,0.12%,3.84%,2.08%,0.66%,2.50%,2.12%,0.95%,2.50%,2.91%,1.93%,1.19%,1.64%,0.86%,2.23%,1.41%,0.64%,0.48%,0.47%,0.34%,0.04%,0.71%,1.05%,0.55%,0.93%,0.50%,1.63%,0.39%,1.02%,-0.13%,-0.06%,0.36%,0.69%,0.39%,0.64%,0.47%,0.56%,0.32%,0.14%,0.14%
RI-Providence,41.824,-71.4128,39300,"1,364.20",1.10%,1.20%,0.51%,-1.72%,-0.46%,0.69%,0.44%,0.26%,0.31%,-0.37%,0.36%,0.09%,0.20%,0.53%,0.68%,0.74%,1.13%,0.99%,0.68%,0.63%,0.40%,0.21%,0.38%,0.26%,0.25%,0.38%,0.47%,0.61%,0.85%,0.92%,0.59%,0.83%,0.55%,0.18%,-0.45%,-0.36%,-0.31%,-0.07%,-0.03%,0.09%,-0.05%,0.16%,0.09%,0.29%,0.19%,0.17%,0.32%
WI-Milwaukee,43.0389,-87.9065,33340,"1,434.38",0.08%,0.77%,-0.47%,0.01%,-1.01%,0.32%,-0.40%,-0.35%,0.43%,0.11%,-0.37%,0.00%,-0.31%,-0.17%,0.32%,0.14%,0.48%,0.82%,0.85%,0.96%,1.01%,0.89%,0.55%,0.38%,0.34%,0.32%,0.09%,0.23%,0.36%,0.41%,0.32%,0.46%,0.36%,0.17%,0.01%,0.10%,0.43%,0.51%,0.74%,0.46%,0.32%,0.39%,0.25%,0.21%,0.09%,-0.01%,0.01%
FL-Jacksonville,30.3322,-81.6557,27260,"1,352.00",1.65%,1.83%,2.10%,4.23%,0.43%,1.14%,0.91%,1.55%,0.84%,2.70%,1.91%,1.72%,1.94%,2.66%,2.93%,3.08%,2.52%,2.48%,0.88%,3.08%,2.51%,2.32%,1.31%,1.41%,1.61%,3.11%,2.35%,1.65%,1.38%,1.47%,1.94%,2.03%,1.85%,2.50%,2.14%,2.66%,1.91%,1.22%,0.93%,1.04%,0.97%,1.18%,1.17%,1.69%,1.99%,2.11%,1.93%
OK-Oklahoma City,35.4676,-97.5164,36420,299.37,2.93%,2.53%,1.92%,1.00%,0.68%,1.26%,1.55%,1.99%,1.77%,2.98%,2.32%,4.42%,3.70%,1.20%,0.43%,-0.39%,-1.42%,-0.37%,0.37%,0.26%,1.18%,1.47%,1.66%,1.41%,0.97%,1.21%,1.28%,0.93%,1.22%,0.90%,0.98%,1.21%,1.09%,0.98%,1.38%,1.84%,1.44%,1.42%,1.74%,1.61%,1.46%,1.64%,1.73%,1.23%,1.53%,1.21%,0.82%
TN-Memphis,35.1495,-90.049,32820,370.5,0.98%,1.57%,0.40%,1.29%,0.33%,0.60%,0.60%,0.85%,1.32%,0.85%,-0.27%,0.31%,0.44%,0.35%,1.07%,0.97%,1.26%,1.38%,0.90%,0.70%,1.22%,1.16%,1.17%,1.40%,1.35%,1.17%,0.94%,1.24%,1.33%,1.12%,0.69%,0.86%,0.99%,0.92%,1.03%,1.56%,0.81%,0.66%,0.53%,0.65%,0.46%,0.59%,0.06%,0.11%,0.08%,0.13%,0.23%
NC-Raleigh,35.7796,-78.6382,39580,"1,159.43",2.77%,2.79%,2.73%,2.79%,1.72%,1.67%,2.27%,2.06%,2.18%,2.73%,1.94%,1.89%,2.77%,3.87%,4.38%,3.30%,2.34%,3.38%,3.16%,4.08%,3.51%,3.63%,4.05%,4.17%,4.42%,4.23%,3.89%,3.96%,3.56%,3.52%,3.60%,3.12%,2.82%,2.96%,3.87%,4.71%,4.58%,4.13%,3.05%,2.46%,2.28%,2.20%,2.15%,2.32%,2.44%,2.52%,2.31%
KY-Louisville,38.2527,-85.7585,31140,593.39,1.35%,0.29%,1.27%,0.90%,0.33%,0.49%,0.19%,0.69%,0.41%,-0.25%,-0.09%,0.18%,-0.08%,-0.17%,-0.17%,-0.11%,0.05%,-0.07%,0.13%,0.44%,0.99%,1.00%,1.05%,0.92%,0.94%,0.80%,0.81%,0.81%,0.99%,0.92%,0.72%,0.71%,1.00%,0.89%,0.92%,1.24%,1.31%,1.18%,0.91%,0.78%,0.56%,0.63%,0.87%,0.61%,0.55%,0.54%,0.71%
VA-Richmond,37.5407,-77.436,40060,741.36,1.36%,0.40%,1.29%,0.89%,1.45%,1.81%,1.85%,1.01%,1.15%,0.74%,0.99%,0.73%,0.77%,0.78%,1.08%,1.39%,1.85%,1.79%,1.61%,1.83%,1.53%,1.83%,1.55%,1.39%,1.32%,1.23%,1.38%,1.31%,1.40%,1.26%,1.12%,1.27%,1.31%,1.57%,1.72%,1.96%,1.47%,1.26%,0.98%,0.78%,0.76%,1.15%,1.01%,1.03%,0.91%,0.96%,0.94%
LA-New Orleans,29.9511,-90.0715,35380,548.7,1.51%,1.79%,0.84%,0.48%,1.18%,1.87%,1.24%,1.19%,1.21%,1.71%,1.15%,1.38%,0.77%,-0.06%,-0.04%,-0.19%,-1.48%,-1.28%,-1.02%,-0.92%,0.77%,0.93%,0.63%,0.62%,0.51%,0.07%,0.18%,0.15%,0.21%,0.07%,0.39%,0.75%,0.78%,0.92%,0.63%,-24.97%,5.40%,3.60%,2.82%,2.36%,1.53%,1.16%,1.08%,0.84%,0.95%,0.61%,0.36%
CT-Hartford,41.7658,-72.6734,25540,"1,403.33",0.89%,0.40%,0.07%,0.27%,-0.37%,-0.28%,-0.63%,0.55%,0.14%,0.52%,0.45%,0.15%,0.75%,0.58%,0.68%,1.00%,1.29%,1.33%,0.19%,0.15%,0.22%,-0.21%,0.05%,0.03%,-0.13%,0.17%,0.23%,0.47%,0.61%,0.84%,0.66%,0.91%,0.89%,0.27%,0.45%,0.49%,0.39%,0.50%,0.43%,0.39%,0.23%,-0.09%,0.07%,-0.14%,-0.18%,-0.24%,0.02%
UT-Salt Lake City,40.7608,-111.891,41620,697.75,3.10%,2.31%,2.67%,2.36%,2.83%,3.30%,2.98%,3.28%,3.29%,3.93%,2.88%,2.33%,2.28%,1.78%,1.11%,1.26%,0.82%,0.75%,0.57%,1.47%,2.87%,3.08%,3.04%,2.66%,2.09%,2.09%,2.28%,1.39%,1.31%,1.44%,1.22%,0.95%,0.86%,1.09%,1.55%,2.11%,1.89%,1.73%,1.76%,1.62%,1.47%,1.52%,1.53%,0.99%,1.24%,1.63%,1.44%
AL-Brimingham,33.5207,-86.8025,13820,662.03,1.20%,0.84%,1.34%,0.72%,1.48%,1.40%,1.46%,1.17%,0.93%,0.30%,-0.02%,-0.43%,0.09%,0.47%,0.59%,0.49%,0.74%,0.27%,0.36%,0.45%,1.12%,1.09%,1.21%,1.14%,1.04%,0.87%,0.78%,0.88%,0.76%,0.56%,0.55%,0.37%,0.75%,0.68%,0.75%,1.15%,0.77%,0.89%,0.73%,0.31%,0.15%,0.26%,0.42%,0.26%,0.30%,0.21%,0.25%
